Individual_1	1	3	2	1	5	1	
Individual_2	1	3	2	1	3	2	
Individual_3	2	3	3	1	2	1	
Individual_4	1	3	4	1	2	1	
Individual_5	1	3	3	1	3	1	
Individual_6	2	3	4	1	3	1	
Individual_7	1	3	5	1	3	1	
Individual_8	1	3	3	1	3	1	
Individual_9	1	2	2	1	5	1	
Individual_10	2	3	2	1	5	1	
Individual_11	1	3	3	1	2	1	
Individual_12	2	3	4	1	2	1	
Individual_13	1	3	3	1	3	1	
Individual_14	2	3	4	1	3	1	
Individual_15	1	4	4	1	5	1	
Individual_16	1	4	3	1	3	1	
Individual_17	1	3	3	1	3	1	
Individual_18	1	3	3	1	3	1	
Individual_19	2	3	4	1	3	1	
Individual_20	1	3	3	1	3	1	
Individual_21	1	3	4	1	3	2	
Individual_22	1	3	4	1	5	1	
Individual_23	1	3	4	1	5	2	
Individual_24	1	4	3	1	5	1	
Individual_25	1	3	4	1	3	1	
Individual_26	2	3	4	1	2	1	
Individual_27	1	3	4	1	2	1	
Individual_28	1	3	3	1	2	1	
Individual_29	1	3	4	1	2	1	
Individual_30	2	2	4	1	2	1	
Individual_31	1	4	4	1	2	1	
Individual_32	1	3	4	1	2	1	
Individual_33	2	3	4	1	2	1	
Individual_34	2	3	4	1	2	1	
Individual_35	2	3	3	1	2	1	
Individual_36	1	2	4	1	2	1	
Individual_37	1	3	4	1	2	1	
Individual_38	1	4	3	1	2	1	
Individual_39	1	4	4	1	2	1	
Individual_40	1	3	4	1	2	1	
Individual_41	1	3	4	1	2	1	
Individual_42	1	2	3	1	2	1	
Individual_43	1	3	3	1	2	1	
Individual_44	1	2	4	1	2	1	
Individual_45	1	2	4	1	2	1	
Individual_46	2	3	3	1	2	1	
Individual_47	2	2	3	1	2	1	
Individual_48	1	3	5	1	2	1	
Individual_49	2	2	2	1	2	1	
Individual_50	2	4	2	1	2	1	
Individual_51	1	4	4	1	2	1	
Individual_52	2	3	4	1	2	1	
Individual_53	1	3	3	1	2	1	
Individual_54	1	3	3	1	2	1	
Individual_55	2	2	2	1	2	1	
Individual_56	1	2	3	1	2	1	
Individual_57	1	2	2	1	3	2	
Individual_58	2	3	2	1	3	2	
Individual_59	1	4	3	1	3	1	
Individual_60	2	3	2	1	3	1	
Individual_61	1	3	2	1	3	2	
Individual_62	1	3	2	1	3	2	
Individual_63	2	3	2	1	3	1	
Individual_64	2	3	3	1	5	1	
Individual_65	1	2	2	1	3	2	
Individual_66	1	3	3	1	3	2	
Individual_67	2	3	2	1	3	2	
Individual_68	1	3	1	1	3	1	
Individual_69	2	3	2	1	3	2	
Individual_70	2	2	2	1	3	2	
Individual_71	2	3	3	1	3	2	
Individual_72	2	3	2	1	3	2	
Individual_73	2	3	2	1	3	1	
Individual_74	1	3	2	1	3	2	
Individual_75	1	3	2	1	3	1	
Individual_76	1	3	1	1	3	1	
Individual_77	1	3	2	1	3	1	
Individual_78	1	3	3	1	3	1	
Individual_79	1	3	3	1	3	1	
Individual_80	1	3	3	1	3	1	
Individual_81	2	3	3	1	3	1	
Individual_82	2	3	2	1	3	2	
Individual_83	2	2	2	1	3	1	
Individual_84	2	3	4	1	3	2	
Individual_85	1	2	2	1	2	2	
Individual_86	2	1	3	1	3	1	
Individual_87	2	3	1	1	2	1	
Individual_88	1	3	3	1	2	1	
Individual_89	1	3	3	1	2	1	
Individual_90	1	3	3	1	2	1	
Individual_91	2	3	3	1	2	1	
Individual_92	2	2	2	1	2	1	
Individual_93	2	2	3	1	2	1	
Individual_94	2	2	2	1	2	1	
Individual_95	2	2	3	1	3	1	
Individual_96	1	3	3	1	2	1	
Individual_97	2	2	4	1	3	1	
Individual_98	1	2	3	1	4	1	
Individual_99	2	2	4	1	2	1	
Individual_100	2	2	3	1	3	1	
Individual_101	2	2	3	1	3	1	
Individual_102	1	2	3	1	3	1	
Individual_103	2	2	2	1	2	1	
Individual_104	2	1	2	1	2	1	
Individual_105	1	2	2	1	3	1	
Individual_106	1	3	3	1	2	1	
Individual_107	1	2	2	1	4	1	
Individual_108	1	2	2	1	3	1	
Individual_109	1	2	2	1	3	1	
Individual_110	2	2	1	1	3	1	
Individual_111	2	2	2	1	4	1	
Individual_112	1	2	3	1	5	1	
Individual_113	1	1	2	1	3	1	
Individual_114	1	1	1	1	2	1	
Individual_115	1	2	2	1	2	1	
Individual_116	1	1	1	1	2	1	
Individual_117	2	2	2	1	2	2	
Individual_118	1	1	1	1	2	1	
Individual_119	2	3	1	1	2	1	
Individual_120	2	3	1	1	2	1	
Individual_121	2	3	1	1	2	1	
Individual_122	1	3	1	1	2	1	
Individual_123	1	3	1	1	2	1	
Individual_124	2	3	1	1	2	1	
Individual_125	2	3	1	1	2	1	
Individual_126	1	3	1	1	2	1	
Individual_127	2	3	1	1	2	1	
Individual_128	2	3	1	1	2	1	
Individual_129	2	3	1	1	2	1	
Individual_130	2	3	1	1	2	1	
Individual_131	1	3	1	1	2	1	
Individual_132	1	3	1	1	2	1	
Individual_133	2	3	1	1	2	1	
Individual_134	2	4	1	1	5	1	
Individual_135	2	3	1	1	2	1	
Individual_136	1	3	1	1	2	1	
Individual_137	1	3	1	1	2	3	
Individual_138	2	3	1	1	2	1	
Individual_139	1	3	1	1	2	1	
Individual_140	2	3	1	1	2	1	
Individual_141	2	4	1	1	2	2	
Individual_142	2	4	1	1	2	1	
Individual_143	1	3	1	1	2	1	
Individual_144	2	3	1	1	2	1	
Individual_145	1	3	1	1	2	1	
Individual_146	1	3	1	1	2	1	
Individual_147	1	3	1	1	2	1	
Individual_148	1	3	1	1	2	1	
Individual_149	2	3	1	1	2	1	
Individual_150	2	3	1	1	2	1	
Individual_151	2	3	1	1	2	1	
Individual_152	1	4	1	1	2	1	
Individual_153	1	3	1	1	2	1	

