Individual_1	3.600	79.000	
Individual_2	1.800	54.000	
Individual_3	3.333	74.000	
Individual_4	2.283	62.000	
Individual_5	4.533	85.000	
Individual_6	2.883	55.000	
Individual_7	4.700	88.000	
Individual_8	3.600	85.000	
Individual_9	1.950	51.000	
Individual_10	4.350	85.000	
Individual_11	1.833	54.000	
Individual_12	3.917	84.000	
Individual_13	4.200	78.000	
Individual_14	1.750	47.000	
Individual_15	4.700	83.000	
Individual_16	2.167	52.000	
Individual_17	1.750	62.000	
Individual_18	4.800	84.000	
Individual_19	1.600	52.000	
Individual_20	4.250	79.000	
Individual_21	1.800	51.000	
Individual_22	1.750	47.000	
Individual_23	3.450	78.000	
Individual_24	3.067	69.000	
Individual_25	4.533	74.000	
Individual_26	3.600	83.000	
Individual_27	1.967	55.000	
Individual_28	4.083	76.000	
Individual_29	3.850	78.000	
Individual_30	4.433	79.000	
Individual_31	4.300	73.000	
Individual_32	4.467	77.000	
Individual_33	3.367	66.000	
Individual_34	4.033	80.000	
Individual_35	3.833	74.000	
Individual_36	2.017	52.000	
Individual_37	1.867	48.000	
Individual_38	4.833	80.000	
Individual_39	1.833	59.000	
Individual_40	4.783	90.000	
Individual_41	4.350	80.000	
Individual_42	1.883	58.000	
Individual_43	4.567	84.000	
Individual_44	1.750	58.000	
Individual_45	4.533	73.000	
Individual_46	3.317	83.000	
Individual_47	3.833	64.000	
Individual_48	2.100	53.000	
Individual_49	4.633	82.000	
Individual_50	2.000	59.000	
Individual_51	4.800	75.000	
Individual_52	4.716	90.000	
Individual_53	1.833	54.000	
Individual_54	4.833	80.000	
Individual_55	1.733	54.000	
Individual_56	4.883	83.000	
Individual_57	3.717	71.000	
Individual_58	1.667	64.000	
Individual_59	4.567	77.000	
Individual_60	4.317	81.000	
Individual_61	2.233	59.000	
Individual_62	4.500	84.000	
Individual_63	1.750	48.000	
Individual_64	4.800	82.000	
Individual_65	1.817	60.000	
Individual_66	4.400	92.000	
Individual_67	4.167	78.000	
Individual_68	4.700	78.000	
Individual_69	2.067	65.000	
Individual_70	4.700	73.000	
Individual_71	4.033	82.000	
Individual_72	1.967	56.000	
Individual_73	4.500	79.000	
Individual_74	4.000	71.000	
Individual_75	1.983	62.000	
Individual_76	5.067	76.000	
Individual_77	2.017	60.000	
Individual_78	4.567	78.000	
Individual_79	3.883	76.000	
Individual_80	3.600	83.000	
Individual_81	4.133	75.000	
Individual_82	4.333	82.000	
Individual_83	4.100	70.000	
Individual_84	2.633	65.000	
Individual_85	4.067	73.000	
Individual_86	4.933	88.000	
Individual_87	3.950	76.000	
Individual_88	4.517	80.000	
Individual_89	2.167	48.000	
Individual_90	4.000	86.000	
Individual_91	2.200	60.000	
Individual_92	4.333	90.000	
Individual_93	1.867	50.000	
Individual_94	4.817	78.000	
Individual_95	1.833	63.000	
Individual_96	4.300	72.000	
Individual_97	4.667	84.000	
Individual_98	3.750	75.000	
Individual_99	1.867	51.000	
Individual_100	4.900	82.000	
Individual_101	2.483	62.000	
Individual_102	4.367	88.000	
Individual_103	2.100	49.000	
Individual_104	4.500	83.000	
Individual_105	4.050	81.000	
Individual_106	1.867	47.000	
Individual_107	4.700	84.000	
Individual_108	1.783	52.000	
Individual_109	4.850	86.000	
Individual_110	3.683	81.000	
Individual_111	4.733	75.000	
Individual_112	2.300	59.000	
Individual_113	4.900	89.000	
Individual_114	4.417	79.000	
Individual_115	1.700	59.000	
Individual_116	4.633	81.000	
Individual_117	2.317	50.000	
Individual_118	4.600	85.000	
Individual_119	1.817	59.000	
Individual_120	4.417	87.000	
Individual_121	2.617	53.000	
Individual_122	4.067	69.000	
Individual_123	4.250	77.000	
Individual_124	1.967	56.000	
Individual_125	4.600	88.000	
Individual_126	3.767	81.000	
Individual_127	1.917	45.000	
Individual_128	4.500	82.000	
Individual_129	2.267	55.000	
Individual_130	4.650	90.000	
Individual_131	1.867	45.000	
Individual_132	4.167	83.000	
Individual_133	2.800	56.000	
Individual_134	4.333	89.000	
Individual_135	1.833	46.000	
Individual_136	4.383	82.000	
Individual_137	1.883	51.000	
Individual_138	4.933	86.000	
Individual_139	2.033	53.000	
Individual_140	3.733	79.000	
Individual_141	4.233	81.000	
Individual_142	2.233	60.000	
Individual_143	4.533	82.000	
Individual_144	4.817	77.000	
Individual_145	4.333	76.000	
Individual_146	1.983	59.000	
Individual_147	4.633	80.000	
Individual_148	2.017	49.000	
Individual_149	5.100	96.000	
Individual_150	1.800	53.000	
Individual_151	5.033	77.000	
Individual_152	4.000	77.000	
Individual_153	2.400	65.000	
Individual_154	4.600	81.000	
Individual_155	3.567	71.000	
Individual_156	4.000	70.000	
Individual_157	4.500	81.000	
Individual_158	4.083	93.000	
Individual_159	1.800	53.000	
Individual_160	3.967	89.000	
Individual_161	2.200	45.000	
Individual_162	4.150	86.000	
Individual_163	2.000	58.000	
Individual_164	3.833	78.000	
Individual_165	3.500	66.000	
Individual_166	4.583	76.000	
Individual_167	2.367	63.000	
Individual_168	5.000	88.000	
Individual_169	1.933	52.000	
Individual_170	4.617	93.000	
Individual_171	1.917	49.000	
Individual_172	2.083	57.000	
Individual_173	4.583	77.000	
Individual_174	3.333	68.000	
Individual_175	4.167	81.000	
Individual_176	4.333	81.000	
Individual_177	4.500	73.000	
Individual_178	2.417	50.000	
Individual_179	4.000	85.000	
Individual_180	4.167	74.000	
Individual_181	1.883	55.000	
Individual_182	4.583	77.000	
Individual_183	4.250	83.000	
Individual_184	3.767	83.000	
Individual_185	2.033	51.000	
Individual_186	4.433	78.000	
Individual_187	4.083	84.000	
Individual_188	1.833	46.000	
Individual_189	4.417	83.000	
Individual_190	2.183	55.000	
Individual_191	4.800	81.000	
Individual_192	1.833	57.000	
Individual_193	4.800	76.000	
Individual_194	4.100	84.000	
Individual_195	3.966	77.000	
Individual_196	4.233	81.000	
Individual_197	3.500	87.000	
Individual_198	4.366	77.000	
Individual_199	2.250	51.000	
Individual_200	4.667	78.000	
Individual_201	2.100	60.000	
Individual_202	4.350	82.000	
Individual_203	4.133	91.000	
Individual_204	1.867	53.000	
Individual_205	4.600	78.000	
Individual_206	1.783	46.000	
Individual_207	4.367	77.000	
Individual_208	3.850	84.000	
Individual_209	1.933	49.000	
Individual_210	4.500	83.000	
Individual_211	2.383	71.000	
Individual_212	4.700	80.000	
Individual_213	1.867	49.000	
Individual_214	3.833	75.000	
Individual_215	3.417	64.000	
Individual_216	4.233	76.000	
Individual_217	2.400	53.000	
Individual_218	4.800	94.000	
Individual_219	2.000	55.000	
Individual_220	4.150	76.000	
Individual_221	1.867	50.000	
Individual_222	4.267	82.000	
Individual_223	1.750	54.000	
Individual_224	4.483	75.000	
Individual_225	4.000	78.000	
Individual_226	4.117	79.000	
Individual_227	4.083	78.000	
Individual_228	4.267	78.000	
Individual_229	3.917	70.000	
Individual_230	4.550	79.000	
Individual_231	4.083	70.000	
Individual_232	2.417	54.000	
Individual_233	4.183	86.000	
Individual_234	2.217	50.000	
Individual_235	4.450	90.000	
Individual_236	1.883	54.000	
Individual_237	1.850	54.000	
Individual_238	4.283	77.000	
Individual_239	3.950	79.000	
Individual_240	2.333	64.000	
Individual_241	4.150	75.000	
Individual_242	2.350	47.000	
Individual_243	4.933	86.000	
Individual_244	2.900	63.000	
Individual_245	4.583	85.000	
Individual_246	3.833	82.000	
Individual_247	2.083	57.000	
Individual_248	4.367	82.000	
Individual_249	2.133	67.000	
Individual_250	4.350	74.000	
Individual_251	2.200	54.000	
Individual_252	4.450	83.000	
Individual_253	3.567	73.000	
Individual_254	4.500	73.000	
Individual_255	4.150	88.000	
Individual_256	3.817	80.000	
Individual_257	3.917	71.000	
Individual_258	4.450	83.000	
Individual_259	2.000	56.000	
Individual_260	4.283	79.000	
Individual_261	4.767	78.000	
Individual_262	4.533	84.000	
Individual_263	1.850	58.000	
Individual_264	4.250	83.000	
Individual_265	1.983	43.000	
Individual_266	2.250	60.000	
Individual_267	4.750	75.000	
Individual_268	4.117	81.000	
Individual_269	2.150	46.000	
Individual_270	4.417	90.000	
Individual_271	1.817	46.000	
Individual_272	4.467	74.000	

