Individual_1	5.1	3.5	1.4	0.2	
Individual_2	4.9	3.0	1.4	0.2	
Individual_3	4.7	3.2	1.3	0.2	
Individual_4	4.6	3.1	1.5	0.2	
Individual_5	5.0	3.6	1.4	0.2	
Individual_6	5.4	3.9	1.7	0.4	
Individual_7	4.6	3.4	1.4	0.3	
Individual_8	5.0	3.4	1.5	0.2	
Individual_9	4.4	2.9	1.4	0.2	
Individual_10	4.9	3.1	1.5	0.1	
Individual_11	5.4	3.7	1.5	0.2	
Individual_12	4.8	3.4	1.6	0.2	
Individual_13	4.8	3.0	1.4	0.1	
Individual_14	4.3	3.0	1.1	0.1	
Individual_15	5.8	4.0	1.2	0.2	
Individual_16	5.7	4.4	1.5	0.4	
Individual_17	5.4	3.9	1.3	0.4	
Individual_18	5.1	3.5	1.4	0.3	
Individual_19	5.7	3.8	1.7	0.3	
Individual_20	5.1	3.8	1.5	0.3	
Individual_21	5.4	3.4	1.7	0.2	
Individual_22	5.1	3.7	1.5	0.4	
Individual_23	4.6	3.6	1.0	0.2	
Individual_24	5.1	3.3	1.7	0.5	
Individual_25	4.8	3.4	1.9	0.2	
Individual_26	5.0	3.0	1.6	0.2	
Individual_27	5.0	3.4	1.6	0.4	
Individual_28	5.2	3.5	1.5	0.2	
Individual_29	5.2	3.4	1.4	0.2	
Individual_30	4.7	3.2	1.6	0.2	
Individual_31	4.8	3.1	1.6	0.2	
Individual_32	5.4	3.4	1.5	0.4	
Individual_33	5.2	4.1	1.5	0.1	
Individual_34	5.5	4.2	1.4	0.2	
Individual_35	4.9	3.1	1.5	0.2	
Individual_36	5.0	3.2	1.2	0.2	
Individual_37	5.5	3.5	1.3	0.2	
Individual_38	4.9	3.6	1.4	0.1	
Individual_39	4.4	3.0	1.3	0.2	
Individual_40	5.1	3.4	1.5	0.2	
Individual_41	5.0	3.5	1.3	0.3	
Individual_42	4.5	2.3	1.3	0.3	
Individual_43	4.4	3.2	1.3	0.2	
Individual_44	5.0	3.5	1.6	0.6	
Individual_45	5.1	3.8	1.9	0.4	
Individual_46	4.8	3.0	1.4	0.3	
Individual_47	5.1	3.8	1.6	0.2	
Individual_48	4.6	3.2	1.4	0.2	
Individual_49	5.3	3.7	1.5	0.2	
Individual_50	5.0	3.3	1.4	0.2	
Individual_51	7.0	3.2	4.7	1.4	
Individual_52	6.4	3.2	4.5	1.5	
Individual_53	6.9	3.1	4.9	1.5	
Individual_54	5.5	2.3	4.0	1.3	
Individual_55	6.5	2.8	4.6	1.5	
Individual_56	5.7	2.8	4.5	1.3	
Individual_57	6.3	3.3	4.7	1.6	
Individual_58	4.9	2.4	3.3	1.0	
Individual_59	6.6	2.9	4.6	1.3	
Individual_60	5.2	2.7	3.9	1.4	
Individual_61	5.0	2.0	3.5	1.0	
Individual_62	5.9	3.0	4.2	1.5	
Individual_63	6.0	2.2	4.0	1.0	
Individual_64	6.1	2.9	4.7	1.4	
Individual_65	5.6	2.9	3.6	1.3	
Individual_66	6.7	3.1	4.4	1.4	
Individual_67	5.6	3.0	4.5	1.5	
Individual_68	5.8	2.7	4.1	1.0	
Individual_69	6.2	2.2	4.5	1.5	
Individual_70	5.6	2.5	3.9	1.1	
Individual_71	5.9	3.2	4.8	1.8	
Individual_72	6.1	2.8	4.0	1.3	
Individual_73	6.3	2.5	4.9	1.5	
Individual_74	6.1	2.8	4.7	1.2	
Individual_75	6.4	2.9	4.3	1.3	
Individual_76	6.6	3.0	4.4	1.4	
Individual_77	6.8	2.8	4.8	1.4	
Individual_78	6.7	3.0	5.0	1.7	
Individual_79	6.0	2.9	4.5	1.5	
Individual_80	5.7	2.6	3.5	1.0	
Individual_81	5.5	2.4	3.8	1.1	
Individual_82	5.5	2.4	3.7	1.0	
Individual_83	5.8	2.7	3.9	1.2	
Individual_84	6.0	2.7	5.1	1.6	
Individual_85	5.4	3.0	4.5	1.5	
Individual_86	6.0	3.4	4.5	1.6	
Individual_87	6.7	3.1	4.7	1.5	
Individual_88	6.3	2.3	4.4	1.3	
Individual_89	5.6	3.0	4.1	1.3	
Individual_90	5.5	2.5	4.0	1.3	
Individual_91	5.5	2.6	4.4	1.2	
Individual_92	6.1	3.0	4.6	1.4	
Individual_93	5.8	2.6	4.0	1.2	
Individual_94	5.0	2.3	3.3	1.0	
Individual_95	5.6	2.7	4.2	1.3	
Individual_96	5.7	3.0	4.2	1.2	
Individual_97	5.7	2.9	4.2	1.3	
Individual_98	6.2	2.9	4.3	1.3	
Individual_99	5.1	2.5	3.0	1.1	
Individual_100	5.7	2.8	4.1	1.3	
Individual_101	6.3	3.3	6.0	2.5	
Individual_102	5.8	2.7	5.1	1.9	
Individual_103	7.1	3.0	5.9	2.1	
Individual_104	6.3	2.9	5.6	1.8	
Individual_105	6.5	3.0	5.8	2.2	
Individual_106	7.6	3.0	6.6	2.1	
Individual_107	4.9	2.5	4.5	1.7	
Individual_108	7.3	2.9	6.3	1.8	
Individual_109	6.7	2.5	5.8	1.8	
Individual_110	7.2	3.6	6.1	2.5	
Individual_111	6.5	3.2	5.1	2.0	
Individual_112	6.4	2.7	5.3	1.9	
Individual_113	6.8	3.0	5.5	2.1	
Individual_114	5.7	2.5	5.0	2.0	
Individual_115	5.8	2.8	5.1	2.4	
Individual_116	6.4	3.2	5.3	2.3	
Individual_117	6.5	3.0	5.5	1.8	
